Zip,NA,$,$$,$$$,$$$$,Total,Mean Rating,Median Income,Mean Income,Population Size,lat,lng
78209,0.0,0.0,0.0,1.0,0.0,1.0,4.4,70758,106227.0,39197,29.488906,-98.45623499999999
78231,0.0,0.0,0.0,1.0,0.0,1.0,4.2,74444,105885.0,7906,29.578540999999998,-98.541904
78666,1.0,0.0,0.0,0.0,0.0,1.0,4.6,34976,45893.0,63836,29.880162,-97.966164
78701,5.0,1.0,1.0,1.0,0.0,8.0,3.825,65353,129093.0,6841,30.270569000000002,-97.742589
78702,0.0,0.0,2.0,0.0,0.0,2.0,4.55,31715,45128.0,21334,30.263378000000003,-97.714483
78703,3.0,6.0,12.0,4.0,0.0,25.0,4.247999999999999,80708,129537.0,19307,30.293267999999998,-97.76605
78704,4.0,8.0,7.0,7.0,1.0,27.0,4.303703703703705,47497,64064.0,42117,30.243032,-97.76508100000001
78705,0.0,2.0,1.0,0.0,0.0,3.0,4.4,14590,26432.0,31340,30.294333,-97.738517
78717,1.0,0.0,0.0,0.0,0.0,1.0,4.1,98157,109267.0,22538,30.492408,-97.748324
78719,0.0,0.0,1.0,0.0,0.0,1.0,4.0,52382,60811.0,1764,30.195371999999995,-97.66844499999999
78721,0.0,2.0,0.0,0.0,0.0,2.0,4.15,30019,36317.0,11425,30.269969,-97.683557
78722,0.0,1.0,2.0,2.0,0.0,5.0,4.42,41729,56325.0,5901,30.289963,-97.71469599999999
78723,1.0,0.0,0.0,0.0,0.0,1.0,4.2,40820,53438.0,28330,30.304274,-97.685715
78727,0.0,0.0,4.0,0.0,0.0,4.0,4.0,67287,77216.0,26689,30.429937,-97.71779599999999
78728,1.0,4.0,2.0,0.0,0.0,7.0,4.142857142857143,51163,59428.0,20299,30.45417,-97.692183
78731,1.0,1.0,7.0,1.0,0.0,10.0,4.180000000000001,66320,92031.0,17465,30.348236,-97.768136
78733,2.0,0.0,0.0,0.0,0.0,2.0,4.85,125088,165335.0,8762,30.321329,-97.884738
78735,0.0,0.0,2.0,0.0,0.0,2.0,4.4,78171,130697.0,16131,30.268138,-97.86919
78737,0.0,2.0,1.0,0.0,0.0,3.0,4.3,109027,124373.0,12081,30.190246000000002,-97.956906
78738,0.0,0.0,3.0,1.0,0.0,4.0,4.15,115761,148243.0,12134,30.319747999999997,-97.958224
78741,1.0,0.0,1.0,0.0,0.0,2.0,4.1,28600,36263.0,44935,30.230506,-97.714185
78744,8.0,6.0,1.0,0.0,0.0,15.0,3.953333333333333,40834,46401.0,42820,30.176044,-97.727787
78745,2.0,0.0,1.0,0.0,0.0,3.0,2.8333333333333335,40987,49678.0,48532,30.206851,-97.797384
78746,2.0,1.0,0.0,0.0,0.0,3.0,4.333333333333333,144895,202076.0,26928,30.296865000000004,-97.809578
78749,3.0,2.0,2.0,0.0,0.0,7.0,4.3428571428571425,81805,89939.0,34449,30.216184000000002,-97.85585
78751,2.0,0.0,1.0,0.0,0.0,3.0,4.366666666666667,37072,53651.0,14385,30.310782,-97.722759
78752,0.0,0.0,0.0,1.0,0.0,1.0,4.4,30477,42032.0,18064,30.331813,-97.704287
78753,0.0,1.0,1.0,0.0,0.0,2.0,4.3,39658,49108.0,49301,30.382462,-97.673473
78756,0.0,0.0,2.0,0.0,0.0,2.0,4.4,49860,68180.0,7194,30.322229999999998,-97.740167
78757,1.0,2.0,4.0,0.0,0.0,7.0,4.242857142857143,53358,66369.0,21310,30.351538,-97.732571
78758,0.0,0.0,2.0,0.0,0.0,2.0,4.2,42886,51581.0,44072,30.387978999999998,-97.70685300000001
78759,0.0,0.0,1.0,0.0,0.0,1.0,4.1,73831,91009.0,37767,30.402665000000002,-97.761062
