Zip,NA,$,$$,$$$,Total,Mean Rating,Median Income,Mean Income,Population Size,lat,lng
78610,0.0,1.0,0.0,0.0,1.0,3.7,80378,90965.0,23502,30.078514000000002,-97.838012
78613,1.0,1.0,0.0,0.0,2.0,3.8000000000000003,77679,90182.0,65099,30.503949,-97.8242
78617,3.0,0.0,0.0,0.0,3.0,4.466666666666667,42002,50346.0,20265,30.147375,-97.600145
78620,0.0,0.0,1.0,0.0,1.0,3.9,86406,103467.0,14367,30.224135999999998,-98.134814
78660,0.0,1.0,0.0,0.0,1.0,3.4,72566,81349.0,68789,30.439629999999998,-97.594687
78665,1.0,0.0,0.0,0.0,1.0,4.5,82625,90795.0,35985,30.543419,-97.645602
78681,0.0,1.0,0.0,0.0,1.0,3.1,91674,99772.0,50606,30.534423999999998,-97.725741
78701,4.0,2.0,3.0,0.0,9.0,3.888888888888888,65353,129093.0,6841,30.270569000000002,-97.742589
78702,34.0,9.0,15.0,0.0,58.0,4.2844827586206895,31715,45128.0,21334,30.263378000000003,-97.714483
78703,1.0,3.0,5.0,0.0,9.0,4.144444444444445,80708,129537.0,19307,30.293267999999998,-97.76605
78704,13.0,10.0,8.0,0.0,31.0,4.258064516129032,47497,64064.0,42117,30.243032,-97.76508100000001
78705,3.0,7.0,4.0,0.0,14.0,4.2214285714285715,14590,26432.0,31340,30.294333,-97.738517
78712,1.0,1.0,1.0,0.0,3.0,3.766666666666667,8321,12821.0,860,30.282172999999997,-97.731003
78717,0.0,1.0,0.0,0.0,1.0,3.4,98157,109267.0,22538,30.492408,-97.748324
78719,2.0,0.0,1.0,0.0,3.0,4.266666666666667,52382,60811.0,1764,30.195371999999995,-97.66844499999999
78721,3.0,0.0,0.0,0.0,3.0,3.8000000000000003,30019,36317.0,11425,30.269969,-97.683557
78722,1.0,3.0,2.0,1.0,7.0,4.2,41729,56325.0,5901,30.289963,-97.71469599999999
78723,3.0,3.0,1.0,0.0,7.0,4.171428571428571,40820,53438.0,28330,30.304274,-97.685715
78724,1.0,0.0,0.0,0.0,1.0,4.9,38909,45950.0,21696,30.292599,-97.61817099999999
78725,1.0,0.0,0.0,0.0,1.0,4.9,52555,60121.0,6083,30.230010999999998,-97.608576
78726,2.0,1.0,1.0,0.0,4.0,3.95,89862,119959.0,13122,30.430940999999997,-97.840101
78727,0.0,2.0,0.0,0.0,2.0,3.25,67287,77216.0,26689,30.429937,-97.71779599999999
78728,0.0,3.0,1.0,0.0,4.0,3.825,51163,59428.0,20299,30.45417,-97.692183
78729,0.0,2.0,0.0,0.0,2.0,4.1,59267,68418.0,27108,30.458396,-97.755344
78730,0.0,1.0,1.0,0.0,2.0,4.25,121702,164675.0,7955,30.370265999999997,-97.836156
78731,2.0,1.0,3.0,0.0,6.0,3.516666666666667,66320,92031.0,17465,30.348236,-97.768136
78732,1.0,0.0,0.0,0.0,1.0,5.0,120657,142769.0,14060,30.377889,-97.895023
78734,1.0,1.0,4.0,0.0,6.0,4.2,82471,112694.0,17655,30.378736,-97.950592
78735,1.0,0.0,4.0,0.0,5.0,4.4799999999999995,78171,130697.0,16131,30.268138,-97.86919
78736,1.0,0.0,1.0,0.0,2.0,4.55,79837,88374.0,6946,30.261084000000004,-97.959435
78737,4.0,0.0,0.0,0.0,4.0,4.375,109027,124373.0,12081,30.190246000000002,-97.956906
78738,1.0,0.0,6.0,0.0,7.0,4.1,115761,148243.0,12134,30.319747999999997,-97.958224
78741,3.0,3.0,3.0,0.0,9.0,3.9777777777777774,28600,36263.0,44935,30.230506,-97.714185
78744,14.0,2.0,0.0,0.0,16.0,3.6875000000000004,40834,46401.0,42820,30.176044,-97.727787
78745,8.0,3.0,5.0,0.0,16.0,4.26875,40987,49678.0,48532,30.206851,-97.797384
78746,2.0,4.0,4.0,0.0,10.0,4.130000000000001,144895,202076.0,26928,30.296865000000004,-97.809578
78747,0.0,1.0,0.0,0.0,1.0,3.9,56943,70423.0,14808,30.126965999999996,-97.73996899999999
78748,3.0,5.0,3.0,0.0,11.0,3.854545454545455,66880,78273.0,40651,30.167109999999997,-97.823998
78749,1.0,3.0,3.0,0.0,7.0,4.0,81805,89939.0,34449,30.216184000000002,-97.85585
78750,1.0,3.0,2.0,0.0,6.0,3.6,83540,101234.0,26814,30.418557,-97.802545
78751,4.0,3.0,4.0,0.0,11.0,3.936363636363636,37072,53651.0,14385,30.310782,-97.722759
78752,12.0,2.0,1.0,0.0,15.0,3.3933333333333326,30477,42032.0,18064,30.331813,-97.704287
78753,5.0,2.0,3.0,0.0,10.0,4.12,39658,49108.0,49301,30.382462,-97.673473
78754,0.0,1.0,1.0,0.0,2.0,3.8,57934,66188.0,15036,30.355657,-97.64468199999999
78756,3.0,8.0,4.0,1.0,16.0,4.35625,49860,68180.0,7194,30.322229999999998,-97.740167
78757,3.0,6.0,12.0,1.0,22.0,4.109090909090909,53358,66369.0,21310,30.351538,-97.732571
78758,5.0,6.0,3.0,0.0,14.0,4.2,42886,51581.0,44072,30.387978999999998,-97.70685300000001
78759,4.0,4.0,7.0,0.0,15.0,4.126666666666667,73831,91009.0,37767,30.402665000000002,-97.761062
